time,with feedback,without feedback
64.3,54,-6
64.35,58,-23
64.4,57,-35
64.45,56,-49
64.5,48,-57
64.55,39,-60
64.6,26,-62
64.65,14,-58
64.7,1,-51
64.75,-12,-41
64.8,-26,-27
64.85,-38,-10
64.9,-48,4
64.95,-54,22
65,-57,36
65.05,-58,52
65.1,-55,63
65.15,-48,67
65.2,-39,74
65.25,-29,75
65.3,-14,70
65.35,-1,65
65.4,12,55
65.45,25,43
65.5,35,28
65.55,45,10
65.6,53,-3
65.65,56,-21
65.7,57,-35
65.75,54,-45
65.8,49,-56
65.85,40,-60
65.9,30,-61
65.95,19,-57
66,4,-50
66.05,-8,-41
66.1,-22,-28
66.15,-33,-13
66.2,-42,3
66.25,-49,20
66.3,-55,34
66.35,-56,50
66.4,-55,61
66.45,-49,68
66.5,-42,72
66.55,-33,73
66.6,-19,70
66.65,-5,63
66.7,6,56
66.75,18,45
66.8,30,28
66.85,42,12
66.9,49,-1
66.95,54,-17
67,56,-34
67.05,55,-44
67.1,51,-54
67.15,43,-58
67.2,34,-59
67.25,21,-56
67.3,7,-50
67.35,-2,-39
67.4,-15,-27
67.45,-28,-13
67.5,-39,2
67.55,-48,16
67.6,-52,33
67.65,-55,48
67.7,-54,58
67.75,-50,65
67.8,-41,71
67.85,-33,73
67.9,-22,70
67.95,-8,65
68,2,59
68.05,15,50
68.1,29,38
68.15,39,23
68.2,46,9
68.25,52,-3
68.3,55,-18
68.35,55,-34
68.4,50,-43
68.45,44,-52
68.5,34,-57
68.55,24,-58
68.6,11,-55
68.65,0,-48
68.7,-13,-40
68.75,-26,-27
68.8,-36,-14
68.85,-45,0
68.9,-50,14
68.95,-53,28
69,-53,41
69.05,-49,53
69.1,-42,61
69.15,-32,66
69.2,-23,70
69.25,-10,69
69.3,2,67
69.35,14,62
69.4,26,54
69.45,37,40
69.5,44,26
69.55,51,11
69.6,54,-1
69.65,53,-14
69.7,51,-29
69.75,44,-40
69.8,36,-48
69.85,26,-54
69.9,15,-57
69.95,0,-57
70,-10,-52
70.05,-22,-46
70.1,-33,-35
70.15,-43,-20
70.2,-49,-6
70.25,-51,6
70.3,-51,20
70.35,-48,35
70.4,-41,50
70.45,-36,59
70.5,-25,65
70.55,-10,68
70.6,0,69
70.65,11,66
70.7,26,62
70.75,35,53
70.8,44,40
70.85,50,24
70.9,54,9
70.95,52,-3
71,50,-20
71.05,45,-33
71.1,36,-43
71.15,28,-49
71.2,18,-55
71.25,5,-55
71.3,-2,-52
71.35,-15,-45
71.4,-26,-35
71.45,-34,-22
71.5,-43,-10
71.55,-48,3
71.6,-51,18
71.65,-50,35
71.7,-46,47
71.75,-42,58
71.8,-36,63
71.85,-25,66
71.9,-16,67
71.95,-3,66
72,7,60
72.05,16,52
72.1,28,42
72.15,39,27
72.2,45,13
72.25,50,0
72.3,53,-14
72.35,51,-30
72.4,47,-39
72.45,41,-48
72.5,33,-52
72.55,23,-54
72.6,11,-51
72.65,-1,-47
72.7,-13,-38
72.75,-26,-26
72.8,-32,-14
72.85,-41,0
72.9,-47,16
72.95,-50,29
73,-48,42
73.05,-45,53
73.1,-39,61
73.15,-30,65
73.2,-20,66
73.25,-8,65
73.3,3,62
73.35,14,55
73.4,26,44
73.45,35,31
73.5,43,16
73.55,49,3
73.6,49,-12
73.65,51,-25
73.7,47,-35
73.75,42,-44
73.8,34,-50
73.85,22,-53
73.9,12,-51
73.95,1,-47
74,-9,-39
74.05,-22,-26
74.1,-32,-16
74.15,-40,-1
74.2,-45,11
74.25,-47,25
74.3,-47,40
74.35,-44,52
74.4,-39,60
74.45,-32,64
74.5,-22,64
74.55,-10,65
74.6,1,61
74.65,11,56
74.7,23,45
74.75,33,32
74.8,41,19
74.85,46,6
74.9,50,-8
74.95,50,-23
75,46,-34
75.05,42,-43
75.1,34,-48
75.15,26,-52
75.2,15,-50
75.25,2,-46
75.3,-8,-39
75.35,-18,-29
75.4,-28,-15
75.45,-37,-2
75.5,-43,9
75.55,-45,23
75.6,-46,36
75.65,-45,49
75.7,-37,58
75.75,-31,63
75.8,-23,65
75.85,-11,64
75.9,0,61
75.95,11,56
76,20,46
76.05,31,36
76.1,38,20
76.15,46,7
76.2,49,-6
76.25,49,-18
76.3,48,-31
76.35,41,-39
76.4,35,-46
76.45,27,-50
76.5,17,-51
76.55,5,-46
76.6,-6,-41
76.65,-17,-31
76.7,-26,-20
76.75,-34,-5
76.8,-40,6
76.85,-45,21
76.9,-45,32
76.95,-43,45
77,-40,55
77.05,-33,60
77.1,-22,63
77.15,-13,64
77.2,0,63
77.25,8,56
77.3,21,47
77.35,29,36
77.4,38,24
77.45,44,10
77.5,47,-1
77.55,49,-17
77.6,47,-26
77.65,42,-37
77.7,36,-44
77.75,29,-49
77.8,18,-49
77.85,6,-47
77.9,-2,-42
77.95,-13,-31
78,-24,-21
78.05,-31,-9
78.1,-41,2
78.15,-42,16
78.2,-44,31
78.25,-42,43
78.3,-39,51
78.35,-33,60
78.4,-25,63
